bin,binSize,median,article,timestamp
0,7,158,Ron_Clark_(teacher),20150701
1,7,177,Ron_Clark_(teacher),20150701
2,7,161,Ron_Clark_(teacher),20150701
3,7,225,Ron_Clark_(teacher),20150701
4,7,243,Ron_Clark_(teacher),20150701
5,7,234,Ron_Clark_(teacher),20150701
6,7,321,Ron_Clark_(teacher),20150701
7,7,230,Ron_Clark_(teacher),20150701
8,7,190,Ron_Clark_(teacher),20150701
9,7,179,Ron_Clark_(teacher),20150701
10,7,178,Ron_Clark_(teacher),20150701
11,7,212,Ron_Clark_(teacher),20150701
12,7,184,Ron_Clark_(teacher),20150701
13,7,173,Ron_Clark_(teacher),20150701
14,7,195,Ron_Clark_(teacher),20150701
15,7,192,Ron_Clark_(teacher),20150701
16,7,195,Ron_Clark_(teacher),20150701
17,7,145,Ron_Clark_(teacher),20150701
18,7,269,Ron_Clark_(teacher),20150701
19,7,199,Ron_Clark_(teacher),20150701
20,7,239,Ron_Clark_(teacher),20150701
21,7,166,Ron_Clark_(teacher),20150701
22,7,232,Ron_Clark_(teacher),20150701
23,7,179,Ron_Clark_(teacher),20150701
24,7,135,Ron_Clark_(teacher),20150701
25,7,104,Ron_Clark_(teacher),20150701
26,7,189,Ron_Clark_(teacher),20150701
27,7,3646,Ron_Clark_(teacher),20150701
28,7,939,Ron_Clark_(teacher),20150701
29,7,415,Ron_Clark_(teacher),20150701
30,7,320,Ron_Clark_(teacher),20150701
31,7,296,Ron_Clark_(teacher),20150701
32,7,310,Ron_Clark_(teacher),20150701
33,7,302,Ron_Clark_(teacher),20150701
34,7,376,Ron_Clark_(teacher),20150701
35,7,223,Ron_Clark_(teacher),20150701
36,7,233,Ron_Clark_(teacher),20150701
37,7,232,Ron_Clark_(teacher),20150701
38,7,214,Ron_Clark_(teacher),20150701
39,7,205,Ron_Clark_(teacher),20150701
40,7,198,Ron_Clark_(teacher),20150701
41,7,190,Ron_Clark_(teacher),20150701
42,7,308,Ron_Clark_(teacher),20150701
43,7,455,Ron_Clark_(teacher),20150701
44,7,250,Ron_Clark_(teacher),20150701
45,7,188,Ron_Clark_(teacher),20150701
46,7,217,Ron_Clark_(teacher),20150701
47,7,201,Ron_Clark_(teacher),20150701
48,7,238,Ron_Clark_(teacher),20150701
49,7,172,Ron_Clark_(teacher),20150701
50,7,175,Ron_Clark_(teacher),20150701
51,7,175,Ron_Clark_(teacher),20150701
52,7,136,Ron_Clark_(teacher),20150701
53,7,202,Ron_Clark_(teacher),20150701
54,7,154,Ron_Clark_(teacher),20150701
55,7,163,Ron_Clark_(teacher),20150701
56,7,217,Ron_Clark_(teacher),20150701
57,7,220,Ron_Clark_(teacher),20150701
58,7,198,Ron_Clark_(teacher),20150701
59,7,251,Ron_Clark_(teacher),20150701
60,7,308,Ron_Clark_(teacher),20150701
61,7,210,Ron_Clark_(teacher),20150701
62,7,237,Ron_Clark_(teacher),20150701
63,7,268,Ron_Clark_(teacher),20150701
64,7,214,Ron_Clark_(teacher),20150701
65,7,219,Ron_Clark_(teacher),20150701
66,7,329,Ron_Clark_(teacher),20150701
67,7,472,Ron_Clark_(teacher),20150701
68,7,313,Ron_Clark_(teacher),20150701
69,7,177,Ron_Clark_(teacher),20150701
70,7,178,Ron_Clark_(teacher),20150701
71,7,194,Ron_Clark_(teacher),20150701
72,7,168,Ron_Clark_(teacher),20150701
73,7,165,Ron_Clark_(teacher),20150701
74,7,250,Ron_Clark_(teacher),20150701
75,7,241,Ron_Clark_(teacher),20150701
76,7,185,Ron_Clark_(teacher),20150701
77,7,117,Ron_Clark_(teacher),20150701
78,7,116,Ron_Clark_(teacher),20150701
79,7,167,Ron_Clark_(teacher),20150701
80,7,195,Ron_Clark_(teacher),20150701
81,7,211,Ron_Clark_(teacher),20150701
82,7,219,Ron_Clark_(teacher),20150701
83,7,267,Ron_Clark_(teacher),20150701
84,7,181,Ron_Clark_(teacher),20150701
85,7,158,Ron_Clark_(teacher),20150701
86,7,153,Ron_Clark_(teacher),20150701
87,7,148,Ron_Clark_(teacher),20150701
88,7,341,Ron_Clark_(teacher),20150701
89,7,209,Ron_Clark_(teacher),20150701
90,7,209,Ron_Clark_(teacher),20150701
91,7,243,Ron_Clark_(teacher),20150701
92,7,189,Ron_Clark_(teacher),20150701
93,7,163,Ron_Clark_(teacher),20150701
94,7,250,Ron_Clark_(teacher),20150701
95,7,235,Ron_Clark_(teacher),20150701
96,7,174,Ron_Clark_(teacher),20150701
97,7,153,Ron_Clark_(teacher),20150701
98,7,214,Ron_Clark_(teacher),20150701
99,7,173,Ron_Clark_(teacher),20150701
100,7,237,Ron_Clark_(teacher),20150701
101,7,201,Ron_Clark_(teacher),20150701
102,7,132,Ron_Clark_(teacher),20150701
103,7,134,Ron_Clark_(teacher),20150701
104,7,154,Ron_Clark_(teacher),20150701
105,7,206,Ron_Clark_(teacher),20150701
106,7,298,Ron_Clark_(teacher),20150701
107,7,368,Ron_Clark_(teacher),20150701
108,7,418,Ron_Clark_(teacher),20150701
109,7,542,Ron_Clark_(teacher),20150701
110,7,384,Ron_Clark_(teacher),20150701
111,7,376,Ron_Clark_(teacher),20150701
112,7,336,Ron_Clark_(teacher),20150701
113,7,293,Ron_Clark_(teacher),20150701
114,7,232,Ron_Clark_(teacher),20150701
115,7,232,Ron_Clark_(teacher),20150701
116,7,259,Ron_Clark_(teacher),20150701
117,7,274,Ron_Clark_(teacher),20150701
118,7,243,Ron_Clark_(teacher),20150701
119,7,199,Ron_Clark_(teacher),20150701
120,7,190,Ron_Clark_(teacher),20150701
121,7,187,Ron_Clark_(teacher),20150701
122,7,404,Ron_Clark_(teacher),20150701
123,7,249,Ron_Clark_(teacher),20150701
124,7,189,Ron_Clark_(teacher),20150701
125,7,143,Ron_Clark_(teacher),20150701
126,7,181,Ron_Clark_(teacher),20150701
127,7,157,Ron_Clark_(teacher),20150701
128,7,182,Ron_Clark_(teacher),20150701
129,7,144,Ron_Clark_(teacher),20150701
130,7,193,Ron_Clark_(teacher),20150701
131,7,354,Ron_Clark_(teacher),20150701
132,7,315,Ron_Clark_(teacher),20150701
133,7,285,Ron_Clark_(teacher),20150701
134,7,271,Ron_Clark_(teacher),20150701
135,7,684,Ron_Clark_(teacher),20150701
136,7,401,Ron_Clark_(teacher),20150701
137,7,342,Ron_Clark_(teacher),20150701
138,7,272,Ron_Clark_(teacher),20150701
139,7,230,Ron_Clark_(teacher),20150701
140,7,231,Ron_Clark_(teacher),20150701
141,7,313,Ron_Clark_(teacher),20150701
142,7,242,Ron_Clark_(teacher),20150701
143,7,155,Ron_Clark_(teacher),20150701
144,7,142,Ron_Clark_(teacher),20150701
145,7,138,Ron_Clark_(teacher),20150701
146,7,143,Ron_Clark_(teacher),20150701
147,7,148,Ron_Clark_(teacher),20150701
148,7,181,Ron_Clark_(teacher),20150701
149,7,239,Ron_Clark_(teacher),20150701
150,7,178,Ron_Clark_(teacher),20150701
151,7,158,Ron_Clark_(teacher),20150701
152,7,151,Ron_Clark_(teacher),20150701
153,7,158,Ron_Clark_(teacher),20150701
154,7,126,Ron_Clark_(teacher),20150701
155,7,98,Ron_Clark_(teacher),20150701
156,7,109,Ron_Clark_(teacher),20150701
157,7,105,Ron_Clark_(teacher),20150701
158,7,156,Ron_Clark_(teacher),20150701
159,7,285,Ron_Clark_(teacher),20150701
160,7,201,Ron_Clark_(teacher),20150701
161,7,251,Ron_Clark_(teacher),20150701
162,7,284,Ron_Clark_(teacher),20150701
163,7,162,Ron_Clark_(teacher),20150701
164,7,136,Ron_Clark_(teacher),20150701
165,7,136,Ron_Clark_(teacher),20150701
166,7,187,Ron_Clark_(teacher),20150701
167,7,191,Ron_Clark_(teacher),20150701
