bin,binSize,median,timestamp,article
0,7,263.0201689087131,20150701,Sajid_Javid
1,7,829.4246684245562,20150708,Sajid_Javid
2,7,508.3444547513845,20150715,Sajid_Javid
3,7,325.6281463454502,20150722,Sajid_Javid
4,7,289.3616023562872,20150729,Sajid_Javid
5,7,264.6298758535825,20150805,Sajid_Javid
6,7,240.80925242268,20150812,Sajid_Javid
7,7,247.98445281314906,20150819,Sajid_Javid
8,7,263.8930336233201,20150826,Sajid_Javid
9,7,327.9649535179725,20150902,Sajid_Javid
10,7,531.5801690825667,20150909,Sajid_Javid
11,7,391.10831529431346,20150916,Sajid_Javid
12,7,251.43026936848062,20150923,Sajid_Javid
13,7,469.337610573651,20150930,Sajid_Javid
14,7,379.1303846036484,20151007,Sajid_Javid
15,7,430.2999892307474,20151014,Sajid_Javid
16,7,376.5411827855836,20151021,Sajid_Javid
17,7,274.1086204130895,20151028,Sajid_Javid
18,7,359.0187929884785,20151103,Sajid_Javid
19,7,460.68390956704957,20151110,Sajid_Javid
20,7,406.6417114625629,20151117,Sajid_Javid
21,7,316.02053635693795,20151124,Sajid_Javid
22,7,384.455306088803,20151201,Sajid_Javid
23,7,333.73380335884525,20151208,Sajid_Javid
24,7,266.49377099556256,20151215,Sajid_Javid
25,7,178.81900150565602,20151222,Sajid_Javid
26,7,199.90317670530337,20151229,Sajid_Javid
27,7,274.39579396129403,20160105,Sajid_Javid
28,7,270.35939549456674,20160112,Sajid_Javid
29,7,255.07636942440294,20160119,Sajid_Javid
30,7,268.8494362638335,20160126,Sajid_Javid
31,7,273.41044178278906,20160202,Sajid_Javid
32,7,298.05212731144934,20160209,Sajid_Javid
33,7,256.2658428580658,20160216,Sajid_Javid
34,7,302.3059978344662,20160223,Sajid_Javid
35,7,277.24835924239056,20160301,Sajid_Javid
36,7,369.69651381620105,20160308,Sajid_Javid
37,7,448.06965620196,20160316,Sajid_Javid
38,7,352.8891936745592,20160323,Sajid_Javid
39,7,2981.786435453742,20160330,Sajid_Javid
40,7,1168.5671243967465,20160406,Sajid_Javid
41,7,461.9906698193549,20160413,Sajid_Javid
42,7,429.62307602681125,20160420,Sajid_Javid
43,7,416.7029733230747,20160427,Sajid_Javid
44,7,665.744621963238,20160504,Sajid_Javid
45,7,350.1825814424471,20160511,Sajid_Javid
46,7,317.50740916318784,20160518,Sajid_Javid
47,7,293.6938454767117,20160525,Sajid_Javid
48,7,257.5075964849811,20160601,Sajid_Javid
49,7,234.17766237323468,20160608,Sajid_Javid
50,7,265.93572812838784,20160615,Sajid_Javid
51,7,2949.668674396388,20160622,Sajid_Javid
52,7,1072.1803288159465,20160629,Sajid_Javid
53,7,1046.528036993175,20160706,Sajid_Javid
54,7,1628.1521835177205,20160713,Sajid_Javid
55,7,327.107953537849,20160720,Sajid_Javid
56,7,278.44885854448063,20160727,Sajid_Javid
57,7,207.7290789583613,20160803,Sajid_Javid
58,7,167.88252151861624,20160810,Sajid_Javid
59,7,184.36286250405968,20160817,Sajid_Javid
60,7,181.41733538845858,20160824,Sajid_Javid
61,7,252.23367722245388,20160831,Sajid_Javid
62,7,282.72689077854216,20160907,Sajid_Javid
63,7,253.92131936892423,20160914,Sajid_Javid
64,7,220.41881063886112,20160921,Sajid_Javid
65,7,275.46550234319,20160928,Sajid_Javid
66,7,323.0628330125614,20161005,Sajid_Javid
67,7,242.9338087028226,20161012,Sajid_Javid
68,7,273.63696042964,20161019,Sajid_Javid
69,7,283.24880022745793,20161026,Sajid_Javid
70,7,570.7627551205195,20161102,Sajid_Javid
71,7,197.80349672814907,20161108,Sajid_Javid
72,7,227.9776588508108,20161115,Sajid_Javid
73,7,211.35805730505197,20161122,Sajid_Javid
74,7,183.87037772498851,20161129,Sajid_Javid
75,7,246.31211996055714,20161206,Sajid_Javid
76,7,256.14864949501305,20161213,Sajid_Javid
77,7,215.46617846785546,20161220,Sajid_Javid
78,7,140.02030488060402,20161227,Sajid_Javid
79,7,221.10903074141686,20170103,Sajid_Javid
80,7,210.90510079594645,20170110,Sajid_Javid
81,7,241.5221645023068,20170117,Sajid_Javid
82,7,228.91244165328558,20170124,Sajid_Javid
83,7,275.6299561262408,20170131,Sajid_Javid
84,7,360.8722578846014,20170207,Sajid_Javid
85,7,206.80900625259594,20170214,Sajid_Javid
86,7,252.95454413900882,20170221,Sajid_Javid
87,7,235.07529793632386,20170228,Sajid_Javid
88,7,234.76077290943832,20170307,Sajid_Javid
89,7,256.0337393299286,20170315,Sajid_Javid
90,7,253.1900952884153,20170322,Sajid_Javid
91,7,257.85135585025733,20170329,Sajid_Javid
92,7,210.31651512902127,20170405,Sajid_Javid
93,7,174.07378334433935,20170412,Sajid_Javid
94,7,259.005288340209,20170419,Sajid_Javid
95,7,253.03096658185726,20170426,Sajid_Javid
96,7,241.60152955126856,20170503,Sajid_Javid
97,7,255.4525946136558,20170510,Sajid_Javid
98,7,267.2820115386478,20170517,Sajid_Javid
99,7,302.70333881504075,20170524,Sajid_Javid
100,7,600.9120231886438,20170531,Sajid_Javid
101,7,1448.362168273748,20170607,Sajid_Javid
102,7,859.4812018705569,20170614,Sajid_Javid
103,7,1157.3340195805401,20170621,Sajid_Javid
104,7,689.3126700842517,20170628,Sajid_Javid
105,7,324.6360444552668,20170705,Sajid_Javid
106,7,266.52713334267855,20170712,Sajid_Javid
107,7,268.7223372136717,20170719,Sajid_Javid
108,7,230.73943272712933,20170726,Sajid_Javid
109,7,199.2895234343923,20170802,Sajid_Javid
110,7,177.39338211046797,20170809,Sajid_Javid
111,7,300.3503947415412,20170816,Sajid_Javid
112,7,188.00397017363414,20170823,Sajid_Javid
113,7,202.49239437129086,20170830,Sajid_Javid
114,7,241.11072759419224,20170906,Sajid_Javid
115,7,258.55019610591626,20170913,Sajid_Javid
116,7,263.87488655109547,20170920,Sajid_Javid
117,7,308.0660011068056,20170927,Sajid_Javid
118,7,342.4632246224611,20171004,Sajid_Javid
119,7,220.8307742278914,20171011,Sajid_Javid
120,7,329.9322639634916,20171018,Sajid_Javid
121,7,271.80105772368165,20171025,Sajid_Javid
122,7,320.16471389329007,20171101,Sajid_Javid
123,7,393.1545435309797,20171107,Sajid_Javid
124,7,394.0591421720857,20171114,Sajid_Javid
125,7,288.462611118899,20171121,Sajid_Javid
