bin,binSize,median,article
0,7,2219,Sam_Cooke
1,7,2222,Sam_Cooke
2,7,2250,Sam_Cooke
3,7,2246,Sam_Cooke
4,7,2273,Sam_Cooke
5,7,2303,Sam_Cooke
6,7,2362,Sam_Cooke
7,7,2352,Sam_Cooke
8,7,2189,Sam_Cooke
9,7,2559,Sam_Cooke
10,7,2372,Sam_Cooke
11,7,2264,Sam_Cooke
12,7,2446,Sam_Cooke
13,7,2278,Sam_Cooke
14,7,2418,Sam_Cooke
15,7,2312,Sam_Cooke
16,7,2365,Sam_Cooke
17,7,2250,Sam_Cooke
18,7,2608,Sam_Cooke
19,7,2397,Sam_Cooke
20,7,2427,Sam_Cooke
21,7,2417,Sam_Cooke
22,7,2382,Sam_Cooke
23,7,3074,Sam_Cooke
24,7,2230,Sam_Cooke
25,7,2402,Sam_Cooke
26,7,2710,Sam_Cooke
27,7,2862,Sam_Cooke
28,7,2421,Sam_Cooke
29,7,2755,Sam_Cooke
30,7,2614,Sam_Cooke
31,7,2472,Sam_Cooke
32,7,2677,Sam_Cooke
33,7,2978,Sam_Cooke
34,7,3074,Sam_Cooke
35,7,3531,Sam_Cooke
36,7,2811,Sam_Cooke
37,7,2493,Sam_Cooke
38,7,2425,Sam_Cooke
39,7,2540,Sam_Cooke
40,7,2721,Sam_Cooke
41,7,2338,Sam_Cooke
42,7,2992,Sam_Cooke
43,7,2506,Sam_Cooke
44,7,2340,Sam_Cooke
45,7,2381,Sam_Cooke
46,7,2177,Sam_Cooke
47,7,2132,Sam_Cooke
48,7,2723,Sam_Cooke
49,7,2657,Sam_Cooke
50,7,2157,Sam_Cooke
51,7,2169,Sam_Cooke
52,7,2447,Sam_Cooke
53,7,2505,Sam_Cooke
54,7,2309,Sam_Cooke
55,7,2072,Sam_Cooke
56,7,2160,Sam_Cooke
57,7,2041,Sam_Cooke
58,7,2010,Sam_Cooke
59,7,1993,Sam_Cooke
60,7,2149,Sam_Cooke
61,7,2044,Sam_Cooke
62,7,2131,Sam_Cooke
63,7,2546,Sam_Cooke
64,7,2547,Sam_Cooke
65,7,2119,Sam_Cooke
66,7,2770,Sam_Cooke
67,7,2877,Sam_Cooke
68,7,2481,Sam_Cooke
69,7,2308,Sam_Cooke
70,7,2432,Sam_Cooke
71,7,2313,Sam_Cooke
72,7,2258,Sam_Cooke
73,7,2356,Sam_Cooke
74,7,2265,Sam_Cooke
75,7,2529,Sam_Cooke
76,7,2291,Sam_Cooke
77,7,2202,Sam_Cooke
78,7,2514,Sam_Cooke
79,7,2262,Sam_Cooke
80,7,2599,Sam_Cooke
81,7,2872,Sam_Cooke
82,7,3019,Sam_Cooke
83,7,2468,Sam_Cooke
84,7,2873,Sam_Cooke
85,7,3113,Sam_Cooke
86,7,2871,Sam_Cooke
87,7,2706,Sam_Cooke
88,7,2394,Sam_Cooke
89,7,2483,Sam_Cooke
90,7,2637,Sam_Cooke
91,7,2363,Sam_Cooke
92,7,2338,Sam_Cooke
93,7,2243,Sam_Cooke
94,7,2550,Sam_Cooke
95,7,2503,Sam_Cooke
96,7,3512,Sam_Cooke
97,7,3234,Sam_Cooke
98,7,2688,Sam_Cooke
99,7,2539,Sam_Cooke
100,7,2302,Sam_Cooke
101,7,2405,Sam_Cooke
102,7,2160,Sam_Cooke
103,7,2333,Sam_Cooke
104,7,2302,Sam_Cooke
105,7,2157,Sam_Cooke
106,7,2619,Sam_Cooke
107,7,2245,Sam_Cooke
108,7,2215,Sam_Cooke
109,7,2695,Sam_Cooke
110,7,2728,Sam_Cooke
111,7,2301,Sam_Cooke
112,7,2590,Sam_Cooke
113,7,2667,Sam_Cooke
114,7,2477,Sam_Cooke
115,7,2742,Sam_Cooke
116,7,2716,Sam_Cooke
117,7,2481,Sam_Cooke
118,7,2495,Sam_Cooke
119,7,2491,Sam_Cooke
120,7,2337,Sam_Cooke
121,7,2515,Sam_Cooke
122,7,2344,Sam_Cooke
123,7,2251,Sam_Cooke
124,7,2303,Sam_Cooke
125,7,2366,Sam_Cooke
126,7,2257,Sam_Cooke
127,7,3210,Sam_Cooke
128,7,2602,Sam_Cooke
129,7,2376,Sam_Cooke
130,7,2643,Sam_Cooke
131,7,2706,Sam_Cooke
132,7,2826,Sam_Cooke
133,7,2713,Sam_Cooke
134,7,2917,Sam_Cooke
135,7,2533,Sam_Cooke
136,7,3367,Sam_Cooke
137,7,3176,Sam_Cooke
138,7,3297,Sam_Cooke
139,7,3172,Sam_Cooke
140,7,3023,Sam_Cooke
141,7,2772,Sam_Cooke
142,7,3025,Sam_Cooke
143,7,2979,Sam_Cooke
144,7,3383,Sam_Cooke
145,7,3189,Sam_Cooke
146,7,2634,Sam_Cooke
147,7,2778,Sam_Cooke
148,7,2832,Sam_Cooke
149,7,2999,Sam_Cooke
150,7,2896,Sam_Cooke
151,7,2532,Sam_Cooke
152,7,2575,Sam_Cooke
153,7,2718,Sam_Cooke
154,7,2596,Sam_Cooke
155,7,2589,Sam_Cooke
156,7,2323,Sam_Cooke
157,7,2380,Sam_Cooke
158,7,2218,Sam_Cooke
159,7,2434,Sam_Cooke
160,7,2445,Sam_Cooke
161,7,2309,Sam_Cooke
162,7,3467,Sam_Cooke
163,7,7072,Sam_Cooke
164,7,3231,Sam_Cooke
165,7,3352,Sam_Cooke
166,7,2426,Sam_Cooke
167,7,2445,Sam_Cooke
