bin,binSize,median,article
0,7,2406,Sarah_Roemer
1,7,2463,Sarah_Roemer
2,7,2236,Sarah_Roemer
3,7,2272,Sarah_Roemer
4,7,2259,Sarah_Roemer
5,7,2800,Sarah_Roemer
6,7,2571,Sarah_Roemer
7,7,2549,Sarah_Roemer
8,7,2160,Sarah_Roemer
9,7,2124,Sarah_Roemer
10,7,1858,Sarah_Roemer
11,7,2052,Sarah_Roemer
12,7,2207,Sarah_Roemer
13,7,1899,Sarah_Roemer
14,7,1949,Sarah_Roemer
15,7,1760,Sarah_Roemer
16,7,1985,Sarah_Roemer
17,7,1895,Sarah_Roemer
18,7,1771,Sarah_Roemer
19,7,2187,Sarah_Roemer
20,7,1807,Sarah_Roemer
21,7,1914,Sarah_Roemer
22,7,2019,Sarah_Roemer
23,7,2274,Sarah_Roemer
24,7,2268,Sarah_Roemer
25,7,2542,Sarah_Roemer
26,7,3220,Sarah_Roemer
27,7,2753,Sarah_Roemer
28,7,2617,Sarah_Roemer
29,7,2363,Sarah_Roemer
30,7,2496,Sarah_Roemer
31,7,2224,Sarah_Roemer
32,7,1966,Sarah_Roemer
33,7,1872,Sarah_Roemer
34,7,2021,Sarah_Roemer
35,7,2102,Sarah_Roemer
36,7,2018,Sarah_Roemer
37,7,2222,Sarah_Roemer
38,7,1947,Sarah_Roemer
39,7,1977,Sarah_Roemer
40,7,2462,Sarah_Roemer
41,7,1601,Sarah_Roemer
42,7,2198,Sarah_Roemer
43,7,1699,Sarah_Roemer
44,7,1469,Sarah_Roemer
45,7,1884,Sarah_Roemer
46,7,1882,Sarah_Roemer
47,7,2099,Sarah_Roemer
48,7,1641,Sarah_Roemer
49,7,2051,Sarah_Roemer
50,7,1659,Sarah_Roemer
51,7,1717,Sarah_Roemer
52,7,2104,Sarah_Roemer
53,7,2071,Sarah_Roemer
54,7,2619,Sarah_Roemer
55,7,2578,Sarah_Roemer
56,7,1800,Sarah_Roemer
57,7,1961,Sarah_Roemer
58,7,1678,Sarah_Roemer
59,7,1671,Sarah_Roemer
60,7,2351,Sarah_Roemer
61,7,1728,Sarah_Roemer
62,7,1904,Sarah_Roemer
63,7,1543,Sarah_Roemer
64,7,1660,Sarah_Roemer
65,7,2209,Sarah_Roemer
66,7,2238,Sarah_Roemer
67,7,2106,Sarah_Roemer
68,7,1907,Sarah_Roemer
69,7,1758,Sarah_Roemer
70,7,1610,Sarah_Roemer
71,7,2296,Sarah_Roemer
72,7,2073,Sarah_Roemer
73,7,2352,Sarah_Roemer
74,7,2719,Sarah_Roemer
75,7,2971,Sarah_Roemer
76,7,2241,Sarah_Roemer
77,7,1968,Sarah_Roemer
78,7,2630,Sarah_Roemer
79,7,2456,Sarah_Roemer
80,7,3019,Sarah_Roemer
81,7,2151,Sarah_Roemer
82,7,2108,Sarah_Roemer
83,7,2171,Sarah_Roemer
84,7,1621,Sarah_Roemer
85,7,1595,Sarah_Roemer
86,7,2294,Sarah_Roemer
87,7,2267,Sarah_Roemer
88,7,1749,Sarah_Roemer
89,7,3541,Sarah_Roemer
90,7,1808,Sarah_Roemer
91,7,1642,Sarah_Roemer
92,7,1801,Sarah_Roemer
93,7,1478,Sarah_Roemer
94,7,1326,Sarah_Roemer
95,7,1322,Sarah_Roemer
96,7,1740,Sarah_Roemer
97,7,1768,Sarah_Roemer
98,7,1564,Sarah_Roemer
99,7,1495,Sarah_Roemer
100,7,1434,Sarah_Roemer
101,7,1326,Sarah_Roemer
102,7,1688,Sarah_Roemer
103,7,1526,Sarah_Roemer
104,7,2564,Sarah_Roemer
105,7,1493,Sarah_Roemer
106,7,1640,Sarah_Roemer
107,7,1739,Sarah_Roemer
108,7,1688,Sarah_Roemer
109,7,1822,Sarah_Roemer
110,7,1846,Sarah_Roemer
111,7,1599,Sarah_Roemer
112,7,1687,Sarah_Roemer
113,7,1530,Sarah_Roemer
114,7,1291,Sarah_Roemer
115,7,1410,Sarah_Roemer
116,7,1315,Sarah_Roemer
117,7,1379,Sarah_Roemer
118,7,1427,Sarah_Roemer
119,7,1743,Sarah_Roemer
120,7,1385,Sarah_Roemer
121,7,1103,Sarah_Roemer
122,7,1297,Sarah_Roemer
123,7,1094,Sarah_Roemer
124,7,1465,Sarah_Roemer
125,7,1370,Sarah_Roemer
126,7,1159,Sarah_Roemer
127,7,1285,Sarah_Roemer
128,7,1108,Sarah_Roemer
129,7,1130,Sarah_Roemer
130,7,1529,Sarah_Roemer
131,7,1633,Sarah_Roemer
132,7,1300,Sarah_Roemer
133,7,1401,Sarah_Roemer
134,7,1323,Sarah_Roemer
135,7,1520,Sarah_Roemer
136,7,1484,Sarah_Roemer
137,7,1644,Sarah_Roemer
138,7,1442,Sarah_Roemer
139,7,1388,Sarah_Roemer
140,7,1463,Sarah_Roemer
141,7,1630,Sarah_Roemer
142,7,1617,Sarah_Roemer
143,7,1522,Sarah_Roemer
144,7,1578,Sarah_Roemer
145,7,2260,Sarah_Roemer
146,7,1524,Sarah_Roemer
147,7,2182,Sarah_Roemer
148,7,1798,Sarah_Roemer
149,7,1917,Sarah_Roemer
150,7,1345,Sarah_Roemer
151,7,1507,Sarah_Roemer
152,7,1309,Sarah_Roemer
153,7,1438,Sarah_Roemer
154,7,3548,Sarah_Roemer
155,7,1412,Sarah_Roemer
156,7,1376,Sarah_Roemer
157,7,1425,Sarah_Roemer
158,7,1265,Sarah_Roemer
159,7,1264,Sarah_Roemer
160,7,1448,Sarah_Roemer
161,7,1221,Sarah_Roemer
162,7,1192,Sarah_Roemer
163,7,1005,Sarah_Roemer
164,7,1376,Sarah_Roemer
165,7,1199,Sarah_Roemer
166,7,1223,Sarah_Roemer
167,7,1103,Sarah_Roemer
