bin,binSize,median,timestamp,article
0,7,134,20150701,Seretse_Khama
1,7,105,20150708,Seretse_Khama
2,7,122,20150715,Seretse_Khama
3,7,119,20150722,Seretse_Khama
4,7,123,20150729,Seretse_Khama
5,7,135,20150805,Seretse_Khama
6,7,134,20150812,Seretse_Khama
7,7,165,20150819,Seretse_Khama
8,7,121,20150826,Seretse_Khama
9,7,127,20150902,Seretse_Khama
10,7,125,20150909,Seretse_Khama
11,7,142,20150916,Seretse_Khama
12,7,148,20150923,Seretse_Khama
13,7,150,20150930,Seretse_Khama
14,7,144,20151007,Seretse_Khama
15,7,192,20151014,Seretse_Khama
16,7,323,20151021,Seretse_Khama
17,7,289,20151028,Seretse_Khama
18,7,143,20151103,Seretse_Khama
19,7,137,20151110,Seretse_Khama
20,7,163,20151117,Seretse_Khama
21,7,140,20151124,Seretse_Khama
22,7,128,20151201,Seretse_Khama
23,7,121,20151208,Seretse_Khama
24,7,117,20151215,Seretse_Khama
25,7,119,20151222,Seretse_Khama
26,7,173,20151229,Seretse_Khama
27,7,288,20160105,Seretse_Khama
28,7,295,20160112,Seretse_Khama
29,7,279,20160119,Seretse_Khama
30,7,668,20160126,Seretse_Khama
31,7,387,20160202,Seretse_Khama
32,7,303,20160209,Seretse_Khama
33,7,335,20160216,Seretse_Khama
34,7,331,20160223,Seretse_Khama
35,7,358,20160301,Seretse_Khama
36,7,267,20160308,Seretse_Khama
37,7,261,20160316,Seretse_Khama
38,7,248,20160323,Seretse_Khama
39,7,242,20160330,Seretse_Khama
40,7,253,20160406,Seretse_Khama
41,7,248,20160413,Seretse_Khama
42,7,246,20160420,Seretse_Khama
43,7,247,20160427,Seretse_Khama
44,7,277,20160504,Seretse_Khama
45,7,264,20160511,Seretse_Khama
46,7,248,20160518,Seretse_Khama
47,7,254,20160525,Seretse_Khama
48,7,278,20160601,Seretse_Khama
49,7,230,20160608,Seretse_Khama
50,7,236,20160615,Seretse_Khama
51,7,332,20160622,Seretse_Khama
52,7,313,20160629,Seretse_Khama
53,7,225,20160706,Seretse_Khama
54,7,281,20160713,Seretse_Khama
55,7,240,20160720,Seretse_Khama
56,7,240,20160727,Seretse_Khama
57,7,234,20160803,Seretse_Khama
58,7,253,20160810,Seretse_Khama
59,7,256,20160817,Seretse_Khama
60,7,6632,20160824,Seretse_Khama
61,7,2485,20160831,Seretse_Khama
62,7,1808,20160907,Seretse_Khama
63,7,4422,20160914,Seretse_Khama
64,7,1055,20160921,Seretse_Khama
65,7,1103,20160928,Seretse_Khama
66,7,812,20161005,Seretse_Khama
67,7,577,20161012,Seretse_Khama
68,7,509,20161019,Seretse_Khama
69,7,549,20161026,Seretse_Khama
70,7,914,20161102,Seretse_Khama
