bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,433.6088562062823,3355.0908712424043,20150701,Shaun_Ryder
1,7,353.2498143708664,2580.9171536704916,20150708,Shaun_Ryder
2,7,363.93353132339826,2469.9717348942904,20150715,Shaun_Ryder
3,7,368.8486734334606,2629.7706858292418,20150722,Shaun_Ryder
4,7,358.933078346678,2679.707883581891,20150729,Shaun_Ryder
5,7,354.196910757872,2448.979320761053,20150805,Shaun_Ryder
6,7,369.0211864404401,2588.2303751513914,20150812,Shaun_Ryder
7,7,368.9243975207799,2877.542946454596,20150819,Shaun_Ryder
8,7,411.18216866889406,3211.7816275160985,20150826,Shaun_Ryder
9,7,323.48455797810954,2448.239171011549,20150902,Shaun_Ryder
10,7,397.41461971564735,4335.101262335322,20150909,Shaun_Ryder
11,7,495.0420190557387,3562.269830483836,20150916,Shaun_Ryder
12,7,779.0528800887013,5755.907219812152,20150923,Shaun_Ryder
13,7,458.66448027431517,3241.9806016630682,20150930,Shaun_Ryder
14,7,549.4470029880985,5267.945470049797,20151007,Shaun_Ryder
15,7,426.6011050353836,3209.5695871577277,20151014,Shaun_Ryder
16,7,410.5993157130314,2828.1873433711353,20151021,Shaun_Ryder
17,7,350.0787998534214,2613.934780825947,20151028,Shaun_Ryder
18,7,426.945991966034,3043.3935523365035,20151103,Shaun_Ryder
19,7,414.5800796995871,3270.5907365275525,20151110,Shaun_Ryder
20,7,632.0350902692218,4586.183656152985,20151117,Shaun_Ryder
21,7,558.3233734329461,3881.8936350248414,20151124,Shaun_Ryder
22,7,531.6745293472694,3976.190575052487,20151201,Shaun_Ryder
23,7,440.24563865015045,3016.7740341518984,20151208,Shaun_Ryder
24,7,354.07329763050797,3315.2416758358368,20151215,Shaun_Ryder
25,7,580.1318436985501,7761.891839920943,20151222,Shaun_Ryder
26,7,358.48519498161755,3411.5549687533594,20151229,Shaun_Ryder
27,7,304.3048319570308,2147.5248104745683,20160105,Shaun_Ryder
28,7,324.1278623951487,2393.768179619193,20160112,Shaun_Ryder
29,7,320.0498709287911,2252.46282980653,20160119,Shaun_Ryder
30,7,304.4449483407631,2155.289127351872,20160126,Shaun_Ryder
31,7,386.3408416495932,4419.644656080086,20160202,Shaun_Ryder
32,7,360.694725122868,2888.452567878482,20160209,Shaun_Ryder
33,7,1255.1493489342054,20763.037535217325,20160216,Shaun_Ryder
34,7,511.3473793157461,3695.8882075780803,20160223,Shaun_Ryder
35,7,520.6611250635225,3774.6424091347126,20160301,Shaun_Ryder
36,7,512.0572609275143,3890.140553687257,20160308,Shaun_Ryder
37,7,495.4567189669761,3824.2915181448298,20160316,Shaun_Ryder
38,7,855.5334455530592,24016.8150055855,20160323,Shaun_Ryder
39,7,410.02171768135776,2916.609976628615,20160330,Shaun_Ryder
40,7,407.0600460311353,2728.1169678907045,20160406,Shaun_Ryder
41,7,370.3963097415171,2541.4689812997676,20160413,Shaun_Ryder
42,7,333.1400187493621,2450.9609632279257,20160420,Shaun_Ryder
43,7,328.0200328466255,2433.4802668794187,20160427,Shaun_Ryder
44,7,312.61893020462605,2266.115283676884,20160504,Shaun_Ryder
45,7,398.4451799362076,2775.364439168538,20160511,Shaun_Ryder
46,7,387.63734010930216,3090.873707363615,20160518,Shaun_Ryder
47,7,397.5955448574391,2965.853323975404,20160525,Shaun_Ryder
48,7,385.12033183924234,2778.8083902674352,20160601,Shaun_Ryder
49,7,717.5171216463483,4537.131489419611,20160608,Shaun_Ryder
50,7,450.927850437216,4384.5625219175845,20160615,Shaun_Ryder
51,7,447.25241139362566,3202.2845907252895,20160622,Shaun_Ryder
52,7,436.87786836131926,3064.4096113353708,20160629,Shaun_Ryder
53,7,377.1450095579177,2719.2047740305657,20160706,Shaun_Ryder
54,7,385.86386092423976,2699.527943425141,20160713,Shaun_Ryder
55,7,333.3807584258864,2416.332651710911,20160720,Shaun_Ryder
56,7,301.34217571776503,2371.295153461821,20160727,Shaun_Ryder
57,7,303.0097721995931,2179.991611682406,20160803,Shaun_Ryder
58,7,310.49240538926875,2183.2880798222695,20160810,Shaun_Ryder
59,7,357.3802651761485,3022.107568896142,20160817,Shaun_Ryder
60,7,511.8631520313078,13374.721599041744,20160824,Shaun_Ryder
61,7,426.83370957713083,3457.2493905637857,20160831,Shaun_Ryder
62,7,407.40578846222434,3198.4078167914367,20160907,Shaun_Ryder
63,7,425.14182046772714,3384.3132993772088,20160914,Shaun_Ryder
64,7,598.1046510535541,7755.538775429609,20160921,Shaun_Ryder
65,7,386.67588711508284,2869.102800453204,20160928,Shaun_Ryder
66,7,409.79511178357313,2888.95703810807,20161005,Shaun_Ryder
67,7,766.2855836321935,11987.003678290866,20161012,Shaun_Ryder
68,7,747.3209283253161,5763.040451150691,20161019,Shaun_Ryder
69,7,553.5558409100267,3790.7138393451105,20161026,Shaun_Ryder
70,7,520.0322182997355,5148.717582010287,20161102,Shaun_Ryder
71,7,579.5465471946779,3624.5717086671584,20161108,Shaun_Ryder
72,7,605.1062850944113,4301.472783363824,20161115,Shaun_Ryder
73,7,628.3857582534023,4551.330589010579,20161122,Shaun_Ryder
74,7,638.9920024716129,4800.867363549522,20161129,Shaun_Ryder
75,7,413.72738899624835,3083.9389553297856,20161206,Shaun_Ryder
76,7,354.74980327552015,2460.423340722239,20161213,Shaun_Ryder
77,7,455.78907271622205,3305.149032504374,20161220,Shaun_Ryder
78,7,345.55354325355495,2603.074129745259,20161227,Shaun_Ryder
79,7,420.790592207971,2872.6849969982723,20170103,Shaun_Ryder
80,7,456.2166106035225,3626.7206248637053,20170110,Shaun_Ryder
81,7,560.3767872792679,3816.372002214064,20170117,Shaun_Ryder
82,7,477.5086920124595,3554.6862489758096,20170124,Shaun_Ryder
83,7,357.52639676438906,3054.953870195339,20170131,Shaun_Ryder
84,7,494.1597991258274,3944.6262267115667,20170207,Shaun_Ryder
85,7,405.0940106547327,2847.2069814287934,20170214,Shaun_Ryder
86,7,382.3234842659132,2709.356088867089,20170221,Shaun_Ryder
87,7,352.75448010506176,2461.033938227793,20170228,Shaun_Ryder
88,7,464.71345339492956,3199.1257175709266,20170307,Shaun_Ryder
89,7,427.8018888543122,3219.675071702758,20170315,Shaun_Ryder
90,7,796.6029900332162,5247.640655483914,20170322,Shaun_Ryder
91,7,594.1968719512835,4022.135514426214,20170329,Shaun_Ryder
92,7,833.3711311510676,6357.646875917251,20170405,Shaun_Ryder
