bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,161.77736122101967,1105.1764285347654,20150701,Sonia_(singer)
1,7,157.45835164528742,1156.224667966092,20150708,Sonia_(singer)
2,7,429.06105137832503,5887.3145081621815,20150715,Sonia_(singer)
3,7,236.1036838186712,2115.3327195761303,20150722,Sonia_(singer)
4,7,189.0793960212677,1315.5155548850578,20150729,Sonia_(singer)
5,7,190.3299491716151,1716.415640975849,20150805,Sonia_(singer)
6,7,160.73166344529133,1160.4835121386857,20150812,Sonia_(singer)
7,7,162.80585681490106,1160.7367957295944,20150819,Sonia_(singer)
8,7,175.96422449981407,1577.8834598707008,20150826,Sonia_(singer)
9,7,149.64521103142462,1162.3094408252673,20150902,Sonia_(singer)
10,7,137.2934326664948,1269.7014250229101,20150909,Sonia_(singer)
11,7,186.36230540568133,1444.0361923573016,20150916,Sonia_(singer)
12,7,164.80393782160903,1283.648610057524,20150923,Sonia_(singer)
13,7,148.7068399721128,1106.5522189685607,20150930,Sonia_(singer)
14,7,148.72961977436455,1496.414019809776,20151007,Sonia_(singer)
15,7,163.89555203005418,1217.7900816690128,20151014,Sonia_(singer)
16,7,158.64220966393594,1090.1496365298578,20151021,Sonia_(singer)
17,7,159.12672720610067,1102.1783915790456,20151028,Sonia_(singer)
18,7,166.0059112831287,1310.548943643739,20151103,Sonia_(singer)
19,7,166.16460669049087,1116.7636144782623,20151110,Sonia_(singer)
20,7,147.46832328273567,1257.3658603878534,20151117,Sonia_(singer)
21,7,178.38986132590156,1197.5504637164277,20151124,Sonia_(singer)
22,7,183.04143886656362,1279.349350869594,20151201,Sonia_(singer)
23,7,180.64987060554145,1421.2839542847935,20151208,Sonia_(singer)
24,7,175.17031071122557,1226.6508748268811,20151215,Sonia_(singer)
25,7,235.38965638331226,2015.4551957305255,20151222,Sonia_(singer)
26,7,175.35468876253094,1331.8733487588838,20151229,Sonia_(singer)
27,7,158.9149844075126,1163.0551663853498,20160105,Sonia_(singer)
28,7,148.71930746621658,1052.0674741808439,20160112,Sonia_(singer)
29,7,177.04886476911847,1201.856916076711,20160119,Sonia_(singer)
30,7,211.32061120123555,1455.2354740443643,20160126,Sonia_(singer)
31,7,183.97172107881562,1345.8572412413382,20160202,Sonia_(singer)
32,7,178.0929664300472,1590.530867140906,20160209,Sonia_(singer)
33,7,171.48471223319677,1269.7136745596472,20160216,Sonia_(singer)
34,7,163.30580424986283,1207.5868823849983,20160223,Sonia_(singer)
35,7,185.3515896094747,1274.9135860041583,20160301,Sonia_(singer)
36,7,179.88218433445007,1493.2382313688977,20160308,Sonia_(singer)
37,7,160.22064284169633,1204.9693542433986,20160316,Sonia_(singer)
38,7,189.95297336673988,1340.1650069939878,20160323,Sonia_(singer)
39,7,178.91056578288664,1210.273310943496,20160330,Sonia_(singer)
40,7,227.30175943967848,1573.7460483033565,20160406,Sonia_(singer)
41,7,184.3468876665391,1294.3761227169489,20160413,Sonia_(singer)
42,7,160.2801322593439,1167.6709712398938,20160420,Sonia_(singer)
43,7,215.89119206707068,1505.3120704764442,20160427,Sonia_(singer)
44,7,205.40849226084765,1427.0547431474822,20160504,Sonia_(singer)
45,7,355.0450401677923,2844.476771408615,20160511,Sonia_(singer)
46,7,228.1254007216858,1705.1678929215575,20160518,Sonia_(singer)
47,7,159.72082298733721,1076.474197946332,20160525,Sonia_(singer)
48,7,213.79254156164245,1908.2991289100587,20160601,Sonia_(singer)
49,7,191.03967193605988,1293.8077255149483,20160608,Sonia_(singer)
50,7,210.25413140119616,1519.9828653676575,20160615,Sonia_(singer)
51,7,162.18363483444259,1189.4438991190177,20160622,Sonia_(singer)
52,7,183.33866932297212,1248.8129751687202,20160629,Sonia_(singer)
53,7,205.17248235364156,1587.9228493007536,20160706,Sonia_(singer)
54,7,199.90911818593753,1362.0541620701815,20160713,Sonia_(singer)
55,7,165.70090214984654,1161.3759623038845,20160720,Sonia_(singer)
56,7,166.89363761341113,1230.3238063966567,20160727,Sonia_(singer)
57,7,147.90007703672217,1200.0307475051673,20160803,Sonia_(singer)
58,7,132.73937756192893,1056.9526346649864,20160810,Sonia_(singer)
59,7,168.6522864542264,1191.4142662566926,20160817,Sonia_(singer)
60,7,141.2701583333497,991.1714104189285,20160824,Sonia_(singer)
61,7,147.08003366199776,1049.0026182121355,20160831,Sonia_(singer)
62,7,174.2290697560018,1495.686811054732,20160907,Sonia_(singer)
63,7,157.89289313485833,1169.3144736720758,20160914,Sonia_(singer)
64,7,161.07528469762926,1266.3366632128889,20160921,Sonia_(singer)
65,7,152.8309917270158,1015.2112503240307,20160928,Sonia_(singer)
66,7,159.6317765354813,1127.0744479017346,20161005,Sonia_(singer)
67,7,155.71495522561136,1096.8502623311424,20161012,Sonia_(singer)
68,7,157.14766410812217,1174.8797835010205,20161019,Sonia_(singer)
69,7,172.0897453077626,1105.3933875862328,20161026,Sonia_(singer)
70,7,165.5412831134288,1358.1233985287336,20161102,Sonia_(singer)
71,7,153.8673186285902,1342.5607372743798,20161108,Sonia_(singer)
72,7,153.35153495907758,1197.2655361448346,20161115,Sonia_(singer)
73,7,192.3402004694273,1402.8338941493673,20161122,Sonia_(singer)
74,7,186.83913312277642,1278.347354297134,20161129,Sonia_(singer)
75,7,180.5072934938318,1623.075120205656,20161206,Sonia_(singer)
76,7,200.77153179367772,1388.3844026095874,20161213,Sonia_(singer)
77,7,218.91843278130472,1434.0712099151556,20161220,Sonia_(singer)
78,7,183.12857235687187,1346.8815175392322,20161227,Sonia_(singer)
79,7,168.51606510480505,1259.2033988554335,20170103,Sonia_(singer)
80,7,160.61364005616352,1241.8063604033218,20170110,Sonia_(singer)
81,7,159.42961427428347,1174.769220439439,20170117,Sonia_(singer)
82,7,195.04629223719857,1440.0347742723075,20170124,Sonia_(singer)
83,7,192.85290859951036,1312.9630633016504,20170131,Sonia_(singer)
84,7,161.96455876171748,1560.5694878421184,20170207,Sonia_(singer)
85,7,182.09064444803235,1319.4413663853395,20170214,Sonia_(singer)
86,7,143.71024585881844,1148.2842995110952,20170221,Sonia_(singer)
87,7,163.6196680887453,1084.8202497718319,20170228,Sonia_(singer)
88,7,161.64192225536388,1206.2741820712854,20170307,Sonia_(singer)
89,7,155.6511336679752,1178.1777726233133,20170315,Sonia_(singer)
90,7,140.27999819031027,1230.972083803763,20170322,Sonia_(singer)
91,7,180.9118383788096,1200.2576334355065,20170329,Sonia_(singer)
92,7,151.47373433615,1228.4152882118271,20170405,Sonia_(singer)
93,7,174.8851065702116,1374.2872323046113,20170412,Sonia_(singer)
94,7,155.46490954335718,1145.1667605744592,20170419,Sonia_(singer)
95,7,193.863845909109,1315.5226001967835,20170426,Sonia_(singer)
96,7,166.93077151981953,1366.2540464558836,20170503,Sonia_(singer)
97,7,261.9729677755787,2483.3021685282947,20170510,Sonia_(singer)
98,7,159.1320674907144,2029.7701370624436,20170517,Sonia_(singer)
99,7,253.83929406713554,13284.836778967494,20170524,Sonia_(singer)
100,7,244.1882857954162,1721.2986743455472,20170531,Sonia_(singer)
101,7,154.94566995050582,1065.1988153152618,20170607,Sonia_(singer)
102,7,142.2899709656269,1359.2630022681387,20170614,Sonia_(singer)
103,7,201.03180112780356,3193.5368065624734,20170621,Sonia_(singer)
104,7,184.45607477567424,1302.3393959628115,20170628,Sonia_(singer)
