bin,binSize,median,timestamp,article
0,7,196,20150726,The_Bollywood_Boyz
1,7,156,20150802,The_Bollywood_Boyz
2,7,149,20150809,The_Bollywood_Boyz
3,7,197,20150816,The_Bollywood_Boyz
4,7,190,20150823,The_Bollywood_Boyz
5,7,179,20150830,The_Bollywood_Boyz
6,7,162,20150906,The_Bollywood_Boyz
7,7,133,20150913,The_Bollywood_Boyz
8,7,130,20150920,The_Bollywood_Boyz
9,7,96,20150927,The_Bollywood_Boyz
10,7,115,20151004,The_Bollywood_Boyz
11,7,112,20151011,The_Bollywood_Boyz
12,7,104,20151018,The_Bollywood_Boyz
13,7,356,20151025,The_Bollywood_Boyz
14,7,238,20151101,The_Bollywood_Boyz
15,7,211,20151107,The_Bollywood_Boyz
16,7,193,20151114,The_Bollywood_Boyz
17,7,179,20151121,The_Bollywood_Boyz
18,7,185,20151128,The_Bollywood_Boyz
19,7,161,20151205,The_Bollywood_Boyz
20,7,126,20151212,The_Bollywood_Boyz
21,7,124,20151219,The_Bollywood_Boyz
22,7,153,20151226,The_Bollywood_Boyz
23,7,195,20160102,The_Bollywood_Boyz
24,7,159,20160109,The_Bollywood_Boyz
25,7,141,20160116,The_Bollywood_Boyz
26,7,176,20160123,The_Bollywood_Boyz
27,7,152,20160130,The_Bollywood_Boyz
28,7,137,20160206,The_Bollywood_Boyz
29,7,138,20160213,The_Bollywood_Boyz
30,7,146,20160220,The_Bollywood_Boyz
31,7,126,20160227,The_Bollywood_Boyz
32,7,117,20160305,The_Bollywood_Boyz
33,7,108,20160312,The_Bollywood_Boyz
34,7,132,20160320,The_Bollywood_Boyz
35,7,121,20160327,The_Bollywood_Boyz
36,7,162,20160403,The_Bollywood_Boyz
37,7,164,20160410,The_Bollywood_Boyz
38,7,156,20160417,The_Bollywood_Boyz
39,7,154,20160424,The_Bollywood_Boyz
40,7,168,20160501,The_Bollywood_Boyz
41,7,139,20160508,The_Bollywood_Boyz
42,7,99,20160515,The_Bollywood_Boyz
43,7,99,20160522,The_Bollywood_Boyz
44,7,109,20160529,The_Bollywood_Boyz
45,7,103,20160605,The_Bollywood_Boyz
46,7,175,20160612,The_Bollywood_Boyz
47,7,159,20160619,The_Bollywood_Boyz
48,7,268,20160626,The_Bollywood_Boyz
49,7,168,20160703,The_Bollywood_Boyz
50,7,393,20160710,The_Bollywood_Boyz
51,7,193,20160717,The_Bollywood_Boyz
52,7,243,20160724,The_Bollywood_Boyz
53,7,418,20160731,The_Bollywood_Boyz
54,7,325,20160807,The_Bollywood_Boyz
55,7,308,20160814,The_Bollywood_Boyz
