bin,binSize,median,timestamp,article
0,7,11,20150701,Tim_Barrow
1,7,8,20150708,Tim_Barrow
2,7,12,20150715,Tim_Barrow
3,7,9,20150722,Tim_Barrow
4,7,16,20150729,Tim_Barrow
5,7,10,20150805,Tim_Barrow
6,7,15,20150812,Tim_Barrow
7,7,12,20150819,Tim_Barrow
8,7,13,20150826,Tim_Barrow
9,7,16,20150902,Tim_Barrow
10,7,18,20150909,Tim_Barrow
11,7,11,20150916,Tim_Barrow
12,7,11,20150923,Tim_Barrow
13,7,13,20150930,Tim_Barrow
14,7,17,20151007,Tim_Barrow
15,7,14,20151014,Tim_Barrow
16,7,16,20151021,Tim_Barrow
17,7,29,20151028,Tim_Barrow
18,7,20,20151103,Tim_Barrow
19,7,14,20151110,Tim_Barrow
20,7,21,20151117,Tim_Barrow
21,7,16,20151124,Tim_Barrow
22,7,13,20151201,Tim_Barrow
23,7,11,20151208,Tim_Barrow
24,7,17,20151215,Tim_Barrow
25,7,10,20151222,Tim_Barrow
26,7,17,20151229,Tim_Barrow
27,7,16,20160105,Tim_Barrow
28,7,13,20160112,Tim_Barrow
29,7,16,20160119,Tim_Barrow
30,7,13,20160126,Tim_Barrow
31,7,12,20160202,Tim_Barrow
32,7,17,20160209,Tim_Barrow
33,7,11,20160216,Tim_Barrow
34,7,17,20160223,Tim_Barrow
35,7,14,20160301,Tim_Barrow
36,7,18,20160308,Tim_Barrow
37,7,19,20160316,Tim_Barrow
38,7,12,20160323,Tim_Barrow
39,7,11,20160330,Tim_Barrow
40,7,13,20160406,Tim_Barrow
41,7,14,20160413,Tim_Barrow
42,7,13,20160420,Tim_Barrow
43,7,9,20160427,Tim_Barrow
44,7,13,20160504,Tim_Barrow
45,7,12,20160511,Tim_Barrow
46,7,12,20160518,Tim_Barrow
47,7,21,20160525,Tim_Barrow
48,7,25,20160601,Tim_Barrow
49,7,20,20160608,Tim_Barrow
50,7,11,20160615,Tim_Barrow
51,7,11,20160622,Tim_Barrow
52,7,14,20160629,Tim_Barrow
53,7,15,20160706,Tim_Barrow
54,7,13,20160713,Tim_Barrow
55,7,8,20160720,Tim_Barrow
56,7,8,20160727,Tim_Barrow
57,7,17,20160803,Tim_Barrow
58,7,13,20160810,Tim_Barrow
59,7,13,20160817,Tim_Barrow
60,7,18,20160824,Tim_Barrow
61,7,11,20160831,Tim_Barrow
62,7,12,20160907,Tim_Barrow
63,7,15,20160914,Tim_Barrow
64,7,11,20160921,Tim_Barrow
65,7,8,20160928,Tim_Barrow
66,7,10,20161005,Tim_Barrow
67,7,20,20161012,Tim_Barrow
68,7,14,20161019,Tim_Barrow
69,7,19,20161026,Tim_Barrow
70,7,11,20161102,Tim_Barrow
71,7,10,20161108,Tim_Barrow
72,7,10,20161115,Tim_Barrow
73,7,11,20161122,Tim_Barrow
74,7,13,20161129,Tim_Barrow
75,7,18,20161206,Tim_Barrow
76,7,17,20161213,Tim_Barrow
77,7,15,20161220,Tim_Barrow
78,7,15,20161227,Tim_Barrow
79,7,1743,20170103,Tim_Barrow
80,7,270,20170110,Tim_Barrow
81,7,56,20170117,Tim_Barrow
82,7,32,20170124,Tim_Barrow
83,7,54,20170131,Tim_Barrow
84,7,36,20170207,Tim_Barrow
85,7,32,20170214,Tim_Barrow
86,7,35,20170221,Tim_Barrow
87,7,27,20170228,Tim_Barrow
88,7,36,20170307,Tim_Barrow
89,7,36,20170315,Tim_Barrow
