bin,binSize,median,article,timestamp
0,7,70,Tim_Elliott,20150701
1,7,72,Tim_Elliott,20150701
2,7,181,Tim_Elliott,20150701
3,7,111,Tim_Elliott,20150701
4,7,90,Tim_Elliott,20150701
5,7,107,Tim_Elliott,20150701
6,7,84,Tim_Elliott,20150701
7,7,72,Tim_Elliott,20150701
8,7,89,Tim_Elliott,20150701
9,7,121,Tim_Elliott,20150701
10,7,81,Tim_Elliott,20150701
11,7,241,Tim_Elliott,20150701
12,7,86,Tim_Elliott,20150701
13,7,91,Tim_Elliott,20150701
14,7,50,Tim_Elliott,20150701
15,7,53,Tim_Elliott,20150701
16,7,50,Tim_Elliott,20150701
17,7,43,Tim_Elliott,20150701
18,7,45,Tim_Elliott,20150701
19,7,48,Tim_Elliott,20150701
20,7,52,Tim_Elliott,20150701
21,7,53,Tim_Elliott,20150701
22,7,57,Tim_Elliott,20150701
23,7,57,Tim_Elliott,20150701
24,7,74,Tim_Elliott,20150701
25,7,86,Tim_Elliott,20150701
26,7,69,Tim_Elliott,20150701
27,7,71,Tim_Elliott,20150701
28,7,79,Tim_Elliott,20150701
29,7,62,Tim_Elliott,20150701
30,7,66,Tim_Elliott,20150701
31,7,92,Tim_Elliott,20150701
32,7,65,Tim_Elliott,20150701
33,7,63,Tim_Elliott,20150701
34,7,60,Tim_Elliott,20150701
35,7,88,Tim_Elliott,20150701
36,7,60,Tim_Elliott,20150701
37,7,59,Tim_Elliott,20150701
38,7,56,Tim_Elliott,20150701
39,7,59,Tim_Elliott,20150701
40,7,60,Tim_Elliott,20150701
41,7,79,Tim_Elliott,20150701
42,7,69,Tim_Elliott,20150701
43,7,75,Tim_Elliott,20150701
44,7,46,Tim_Elliott,20150701
45,7,56,Tim_Elliott,20150701
46,7,54,Tim_Elliott,20150701
47,7,61,Tim_Elliott,20150701
48,7,51,Tim_Elliott,20150701
49,7,48,Tim_Elliott,20150701
50,7,42,Tim_Elliott,20150701
51,7,36,Tim_Elliott,20150701
52,7,40,Tim_Elliott,20150701
53,7,47,Tim_Elliott,20150701
54,7,51,Tim_Elliott,20150701
55,7,125,Tim_Elliott,20150701
56,7,126,Tim_Elliott,20150701
57,7,127,Tim_Elliott,20150701
58,7,100,Tim_Elliott,20150701
59,7,139,Tim_Elliott,20150701
60,7,167,Tim_Elliott,20150701
61,7,600,Tim_Elliott,20150701
62,7,225,Tim_Elliott,20150701
63,7,204,Tim_Elliott,20150701
64,7,353,Tim_Elliott,20150701
65,7,297,Tim_Elliott,20150701
66,7,527,Tim_Elliott,20150701
67,7,955,Tim_Elliott,20150701
68,7,311,Tim_Elliott,20150701
69,7,215,Tim_Elliott,20150701
70,7,188,Tim_Elliott,20150701
71,7,256,Tim_Elliott,20150701
72,7,563,Tim_Elliott,20150701
73,7,1132,Tim_Elliott,20150701
74,7,17877,Tim_Elliott,20150701
75,7,977,Tim_Elliott,20150701
76,7,473,Tim_Elliott,20150701
77,7,412,Tim_Elliott,20150701
78,7,618,Tim_Elliott,20150701
79,7,446,Tim_Elliott,20150701
80,7,370,Tim_Elliott,20150701
81,7,302,Tim_Elliott,20150701
82,7,296,Tim_Elliott,20150701
83,7,369,Tim_Elliott,20150701
84,7,310,Tim_Elliott,20150701
85,7,285,Tim_Elliott,20150701
86,7,291,Tim_Elliott,20150701
87,7,319,Tim_Elliott,20150701
88,7,432,Tim_Elliott,20150701
89,7,365,Tim_Elliott,20150701
90,7,301,Tim_Elliott,20150701
91,7,284,Tim_Elliott,20150701
92,7,399,Tim_Elliott,20150701
93,7,2301,Tim_Elliott,20150701
94,7,816,Tim_Elliott,20150701
95,7,318,Tim_Elliott,20150701
96,7,212,Tim_Elliott,20150701
97,7,469,Tim_Elliott,20150701
98,7,290,Tim_Elliott,20150701
99,7,374,Tim_Elliott,20150701
100,7,444,Tim_Elliott,20150701
101,7,1617,Tim_Elliott,20150701
102,7,341,Tim_Elliott,20150701
103,7,266,Tim_Elliott,20150701
104,7,262,Tim_Elliott,20150701
105,7,609,Tim_Elliott,20150701
106,7,261,Tim_Elliott,20150701
107,7,283,Tim_Elliott,20150701
108,7,285,Tim_Elliott,20150701
109,7,366,Tim_Elliott,20150701
110,7,194,Tim_Elliott,20150701
111,7,174,Tim_Elliott,20150701
112,7,152,Tim_Elliott,20150701
113,7,236,Tim_Elliott,20150701
114,7,507,Tim_Elliott,20150701
115,7,256,Tim_Elliott,20150701
116,7,241,Tim_Elliott,20150701
117,7,218,Tim_Elliott,20150701
118,7,414,Tim_Elliott,20150701
119,7,283,Tim_Elliott,20150701
120,7,190,Tim_Elliott,20150701
121,7,180,Tim_Elliott,20150701
122,7,223,Tim_Elliott,20150701
123,7,305,Tim_Elliott,20150701
124,7,242,Tim_Elliott,20150701
125,7,204,Tim_Elliott,20150701
126,7,328,Tim_Elliott,20150701
127,7,333,Tim_Elliott,20150701
128,7,639,Tim_Elliott,20150701
129,7,606,Tim_Elliott,20150701
130,7,1563,Tim_Elliott,20150701
131,7,403,Tim_Elliott,20150701
132,7,294,Tim_Elliott,20150701
133,7,234,Tim_Elliott,20150701
134,7,221,Tim_Elliott,20150701
135,7,215,Tim_Elliott,20150701
136,7,418,Tim_Elliott,20150701
137,7,211,Tim_Elliott,20150701
138,7,174,Tim_Elliott,20150701
139,7,183,Tim_Elliott,20150701
140,7,143,Tim_Elliott,20150701
141,7,150,Tim_Elliott,20150701
142,7,144,Tim_Elliott,20150701
143,7,156,Tim_Elliott,20150701
144,7,226,Tim_Elliott,20150701
145,7,244,Tim_Elliott,20150701
146,7,277,Tim_Elliott,20150701
147,7,159,Tim_Elliott,20150701
148,7,129,Tim_Elliott,20150701
149,7,125,Tim_Elliott,20150701
150,7,184,Tim_Elliott,20150701
151,7,180,Tim_Elliott,20150701
152,7,187,Tim_Elliott,20150701
153,7,223,Tim_Elliott,20150701
154,7,127,Tim_Elliott,20150701
155,7,132,Tim_Elliott,20150701
156,7,112,Tim_Elliott,20150701
157,7,145,Tim_Elliott,20150701
158,7,125,Tim_Elliott,20150701
159,7,125,Tim_Elliott,20150701
160,7,210,Tim_Elliott,20150701
161,7,507,Tim_Elliott,20150701
162,7,193,Tim_Elliott,20150701
163,7,147,Tim_Elliott,20150701
164,7,124,Tim_Elliott,20150701
165,7,101,Tim_Elliott,20150701
166,7,109,Tim_Elliott,20150701
