bin,binSize,median,timestamp,article
0,7,448.80171177444174,20150701,Vincent_Schiavelli
1,7,440.5937884715382,20150708,Vincent_Schiavelli
2,7,452.69411444175927,20150715,Vincent_Schiavelli
3,7,430.8973066799192,20150722,Vincent_Schiavelli
4,7,471.69274858497107,20150729,Vincent_Schiavelli
5,7,458.6313923245665,20150805,Vincent_Schiavelli
6,7,439.59900898369364,20150812,Vincent_Schiavelli
7,7,478.0904540054458,20150819,Vincent_Schiavelli
8,7,410.15932745329974,20150826,Vincent_Schiavelli
9,7,458.7375185405781,20150902,Vincent_Schiavelli
10,7,406.79492303565826,20150909,Vincent_Schiavelli
11,7,474.9701314003046,20150916,Vincent_Schiavelli
12,7,477.4254717767504,20150923,Vincent_Schiavelli
13,7,434.96963908999686,20150930,Vincent_Schiavelli
14,7,431.97902303891874,20151007,Vincent_Schiavelli
15,7,456.7528290130933,20151014,Vincent_Schiavelli
16,7,485.42616250461833,20151021,Vincent_Schiavelli
17,7,504.23517222563055,20151028,Vincent_Schiavelli
18,7,461.64559021458,20151103,Vincent_Schiavelli
19,7,520.3114418253203,20151110,Vincent_Schiavelli
20,7,452.71968664858974,20151117,Vincent_Schiavelli
21,7,506.5877829917867,20151124,Vincent_Schiavelli
22,7,447.7793391481472,20151201,Vincent_Schiavelli
23,7,554.8983318038142,20151208,Vincent_Schiavelli
24,7,483.8208498345947,20151215,Vincent_Schiavelli
25,7,933.8244490527105,20151222,Vincent_Schiavelli
26,7,643.7572844233292,20151229,Vincent_Schiavelli
27,7,466.4069166194192,20160105,Vincent_Schiavelli
28,7,470.24187813019955,20160112,Vincent_Schiavelli
29,7,579.9417768400127,20160119,Vincent_Schiavelli
30,7,523.2854644948508,20160126,Vincent_Schiavelli
31,7,538.8959432240479,20160202,Vincent_Schiavelli
32,7,733.1493784703611,20160209,Vincent_Schiavelli
33,7,537.1180765438427,20160216,Vincent_Schiavelli
34,7,552.9422480318866,20160223,Vincent_Schiavelli
35,7,572.4141294562281,20160301,Vincent_Schiavelli
36,7,494.40011399897935,20160308,Vincent_Schiavelli
37,7,606.5472190825516,20160316,Vincent_Schiavelli
38,7,563.1682627851843,20160323,Vincent_Schiavelli
39,7,546.505355810476,20160330,Vincent_Schiavelli
40,7,536.361472417496,20160406,Vincent_Schiavelli
41,7,544.3039020731472,20160413,Vincent_Schiavelli
42,7,526.7487426230042,20160420,Vincent_Schiavelli
43,7,620.4342526711241,20160427,Vincent_Schiavelli
44,7,462.9170565011431,20160504,Vincent_Schiavelli
45,7,547.7409407882172,20160511,Vincent_Schiavelli
46,7,608.8375951301227,20160518,Vincent_Schiavelli
47,7,571.8621009951282,20160525,Vincent_Schiavelli
48,7,488.95167105852687,20160601,Vincent_Schiavelli
49,7,520.6594047729421,20160608,Vincent_Schiavelli
50,7,510.43358376656727,20160615,Vincent_Schiavelli
51,7,427.39839783123364,20160622,Vincent_Schiavelli
52,7,432.88289191347377,20160629,Vincent_Schiavelli
53,7,581.1599661289971,20160706,Vincent_Schiavelli
54,7,659.3964652512228,20160713,Vincent_Schiavelli
55,7,498.95054926287304,20160720,Vincent_Schiavelli
56,7,640.3445358956669,20160727,Vincent_Schiavelli
57,7,1012.2618849614419,20160803,Vincent_Schiavelli
58,7,603.9357544689153,20160810,Vincent_Schiavelli
59,7,733.187448104441,20160817,Vincent_Schiavelli
60,7,632.6884948215019,20160824,Vincent_Schiavelli
61,7,721.7033639119526,20160831,Vincent_Schiavelli
62,7,528.1959529578945,20160907,Vincent_Schiavelli
63,7,503.1097814255759,20160914,Vincent_Schiavelli
64,7,513.6691554159412,20160921,Vincent_Schiavelli
65,7,536.7204827401044,20160928,Vincent_Schiavelli
66,7,538.454066906212,20161005,Vincent_Schiavelli
67,7,542.1882175927914,20161012,Vincent_Schiavelli
68,7,479.509986411551,20161019,Vincent_Schiavelli
69,7,480.9526607889051,20161026,Vincent_Schiavelli
70,7,554.7010328530512,20161102,Vincent_Schiavelli
71,7,642.3313611390696,20161108,Vincent_Schiavelli
72,7,695.6633390741773,20161115,Vincent_Schiavelli
73,7,701.8582909306095,20161122,Vincent_Schiavelli
74,7,784.6126123977589,20161129,Vincent_Schiavelli
75,7,546.0572396145063,20161206,Vincent_Schiavelli
