bin,binSize,median,article,timestamp
0,7,195,Virginia_Williams,20150701
1,7,171,Virginia_Williams,20150701
2,7,178,Virginia_Williams,20150701
3,7,160,Virginia_Williams,20150701
4,7,187,Virginia_Williams,20150701
5,7,153,Virginia_Williams,20150701
6,7,170,Virginia_Williams,20150701
7,7,171,Virginia_Williams,20150701
8,7,139,Virginia_Williams,20150701
9,7,144,Virginia_Williams,20150701
10,7,156,Virginia_Williams,20150701
11,7,132,Virginia_Williams,20150701
12,7,146,Virginia_Williams,20150701
13,7,110,Virginia_Williams,20150701
14,7,114,Virginia_Williams,20150701
15,7,137,Virginia_Williams,20150701
16,7,135,Virginia_Williams,20150701
17,7,149,Virginia_Williams,20150701
18,7,158,Virginia_Williams,20150701
19,7,137,Virginia_Williams,20150701
20,7,132,Virginia_Williams,20150701
21,7,145,Virginia_Williams,20150701
22,7,124,Virginia_Williams,20150701
23,7,135,Virginia_Williams,20150701
24,7,149,Virginia_Williams,20150701
25,7,141,Virginia_Williams,20150701
26,7,238,Virginia_Williams,20150701
27,7,183,Virginia_Williams,20150701
28,7,174,Virginia_Williams,20150701
29,7,167,Virginia_Williams,20150701
30,7,189,Virginia_Williams,20150701
31,7,155,Virginia_Williams,20150701
32,7,164,Virginia_Williams,20150701
33,7,151,Virginia_Williams,20150701
34,7,163,Virginia_Williams,20150701
35,7,314,Virginia_Williams,20150701
36,7,204,Virginia_Williams,20150701
37,7,191,Virginia_Williams,20150701
38,7,147,Virginia_Williams,20150701
39,7,134,Virginia_Williams,20150701
40,7,192,Virginia_Williams,20150701
41,7,171,Virginia_Williams,20150701
42,7,192,Virginia_Williams,20150701
43,7,157,Virginia_Williams,20150701
44,7,151,Virginia_Williams,20150701
45,7,142,Virginia_Williams,20150701
46,7,131,Virginia_Williams,20150701
47,7,127,Virginia_Williams,20150701
48,7,137,Virginia_Williams,20150701
49,7,133,Virginia_Williams,20150701
50,7,147,Virginia_Williams,20150701
51,7,146,Virginia_Williams,20150701
52,7,152,Virginia_Williams,20150701
53,7,146,Virginia_Williams,20150701
54,7,121,Virginia_Williams,20150701
55,7,123,Virginia_Williams,20150701
56,7,122,Virginia_Williams,20150701
57,7,94,Virginia_Williams,20150701
58,7,126,Virginia_Williams,20150701
59,7,127,Virginia_Williams,20150701
60,7,147,Virginia_Williams,20150701
61,7,130,Virginia_Williams,20150701
62,7,147,Virginia_Williams,20150701
63,7,104,Virginia_Williams,20150701
64,7,116,Virginia_Williams,20150701
65,7,114,Virginia_Williams,20150701
66,7,104,Virginia_Williams,20150701
67,7,122,Virginia_Williams,20150701
68,7,117,Virginia_Williams,20150701
69,7,104,Virginia_Williams,20150701
70,7,87,Virginia_Williams,20150701
71,7,101,Virginia_Williams,20150701
72,7,88,Virginia_Williams,20150701
73,7,101,Virginia_Williams,20150701
74,7,119,Virginia_Williams,20150701
75,7,591,Virginia_Williams,20150701
76,7,1033,Virginia_Williams,20150701
77,7,590,Virginia_Williams,20150701
78,7,595,Virginia_Williams,20150701
79,7,456,Virginia_Williams,20150701
80,7,336,Virginia_Williams,20150701
81,7,272,Virginia_Williams,20150701
82,7,243,Virginia_Williams,20150701
83,7,233,Virginia_Williams,20150701
84,7,289,Virginia_Williams,20150701
85,7,230,Virginia_Williams,20150701
86,7,211,Virginia_Williams,20150701
87,7,197,Virginia_Williams,20150701
88,7,225,Virginia_Williams,20150701
89,7,202,Virginia_Williams,20150701
90,7,231,Virginia_Williams,20150701
91,7,193,Virginia_Williams,20150701
92,7,189,Virginia_Williams,20150701
93,7,217,Virginia_Williams,20150701
94,7,199,Virginia_Williams,20150701
95,7,169,Virginia_Williams,20150701
96,7,159,Virginia_Williams,20150701
97,7,182,Virginia_Williams,20150701
98,7,179,Virginia_Williams,20150701
99,7,162,Virginia_Williams,20150701
100,7,159,Virginia_Williams,20150701
101,7,154,Virginia_Williams,20150701
