bin,binSize,pageviews_median,pageviews_sum,timestamp,article
0,7,638.2564724611542,4322.349825699329,20150701,Yuto_Nagatomo
1,7,373.15121236359124,2647.1344280281323,20150708,Yuto_Nagatomo
2,7,357.20872220013666,2627.5860707090023,20150715,Yuto_Nagatomo
3,7,805.8081591653081,6287.25890146551,20150722,Yuto_Nagatomo
4,7,562.0555599936308,3981.632770959156,20150729,Yuto_Nagatomo
5,7,416.12937118569084,3558.2153611968797,20150805,Yuto_Nagatomo
6,7,381.14035239677463,2705.872722426582,20150812,Yuto_Nagatomo
7,7,419.92561642359004,3088.38199162425,20150819,Yuto_Nagatomo
8,7,985.9768645302547,7237.057195265546,20150826,Yuto_Nagatomo
9,7,397.0201517570687,3129.5490251293218,20150902,Yuto_Nagatomo
10,7,351.6763642496521,3002.103085635301,20150909,Yuto_Nagatomo
11,7,299.8341906804879,2264.447049853678,20150916,Yuto_Nagatomo
12,7,350.9090648854668,2427.235715278481,20150923,Yuto_Nagatomo
13,7,262.3667529566047,1818.2904500678567,20150930,Yuto_Nagatomo
14,7,244.73190010498456,1728.4192293531623,20151007,Yuto_Nagatomo
15,7,238.90067323956723,1792.357512363487,20151014,Yuto_Nagatomo
16,7,243.23020314170958,2110.6127823692796,20151021,Yuto_Nagatomo
17,7,325.7153459768869,2900.4105752833207,20151028,Yuto_Nagatomo
18,7,295.43235826299866,2298.5357304269887,20151103,Yuto_Nagatomo
19,7,271.63435704493423,2053.6157455116027,20151110,Yuto_Nagatomo
20,7,275.056297651205,2161.4150219569765,20151117,Yuto_Nagatomo
21,7,284.61476876867084,2708.768459581517,20151124,Yuto_Nagatomo
22,7,325.7344668302827,2444.7977995119136,20151201,Yuto_Nagatomo
23,7,246.50792293551075,1944.0599589660733,20151208,Yuto_Nagatomo
24,7,314.4677487349106,2293.7428015040095,20151215,Yuto_Nagatomo
25,7,309.8994891552084,2281.9139315847374,20151222,Yuto_Nagatomo
26,7,313.40621836716264,2179.853787752241,20151229,Yuto_Nagatomo
27,7,354.53928040708024,2746.9169975950394,20160105,Yuto_Nagatomo
28,7,233.69596367682647,1764.3504715924464,20160112,Yuto_Nagatomo
29,7,258.54047743741825,2091.243442861376,20160119,Yuto_Nagatomo
30,7,366.0717416286147,2570.375442347742,20160126,Yuto_Nagatomo
31,7,351.83751312883913,2248.1320801526517,20160202,Yuto_Nagatomo
32,7,339.5650824210373,5119.6457723412705,20160209,Yuto_Nagatomo
33,7,238.88652468404592,2068.3488913038327,20160216,Yuto_Nagatomo
34,7,275.7808258649712,2567.9299742221733,20160223,Yuto_Nagatomo
35,7,279.8226582041635,2143.5883622240185,20160301,Yuto_Nagatomo
36,7,201.63711938977357,1851.1324845595063,20160308,Yuto_Nagatomo
37,7,230.79126706015734,2143.955990325188,20160316,Yuto_Nagatomo
38,7,237.8304835508801,2064.368394290891,20160323,Yuto_Nagatomo
39,7,256.90011843246145,2106.2807667552343,20160330,Yuto_Nagatomo
40,7,332.1365260817971,3454.518348882302,20160406,Yuto_Nagatomo
41,7,249.24791888772327,2441.2932572390105,20160413,Yuto_Nagatomo
42,7,237.4751406478475,1964.903054316963,20160420,Yuto_Nagatomo
43,7,275.7485567427218,2039.765272690136,20160427,Yuto_Nagatomo
44,7,275.3530974650018,2127.883099748509,20160504,Yuto_Nagatomo
45,7,226.85076636554197,1603.5276242642208,20160511,Yuto_Nagatomo
46,7,230.7716979671135,1610.6750354396588,20160518,Yuto_Nagatomo
47,7,234.5067556799909,1676.7169847817836,20160525,Yuto_Nagatomo
48,7,391.99151354519296,2914.9426468198762,20160601,Yuto_Nagatomo
49,7,293.43547026866554,1997.215488634145,20160608,Yuto_Nagatomo
50,7,292.8468966723767,2077.470367169437,20160615,Yuto_Nagatomo
51,7,319.76457450105016,2305.2397556909245,20160622,Yuto_Nagatomo
52,7,349.3904071448527,2569.932999849465,20160629,Yuto_Nagatomo
53,7,333.5530791515019,2362.036645788687,20160706,Yuto_Nagatomo
54,7,337.720303490307,2330.0150019577013,20160713,Yuto_Nagatomo
55,7,320.98631902170274,2395.230768681159,20160720,Yuto_Nagatomo
56,7,310.1921859771946,2395.592413212325,20160727,Yuto_Nagatomo
57,7,336.6479459024487,2262.033594758197,20160803,Yuto_Nagatomo
58,7,257.40676594779455,1925.3430370119693,20160810,Yuto_Nagatomo
59,7,287.1223572996413,2170.7749400397724,20160817,Yuto_Nagatomo
60,7,378.8156901314733,2944.4271679388726,20160824,Yuto_Nagatomo
61,7,355.0906246243134,2631.61582213101,20160831,Yuto_Nagatomo
62,7,271.6724882326456,2158.166254547929,20160907,Yuto_Nagatomo
63,7,405.3507607380281,2990.3065058413335,20160914,Yuto_Nagatomo
64,7,273.92650011165574,1961.3899207759362,20160921,Yuto_Nagatomo
65,7,276.5586194159805,2084.400771628105,20160928,Yuto_Nagatomo
66,7,271.4023358237119,2066.6568646292885,20161005,Yuto_Nagatomo
67,7,231.36553209792626,1814.8294309427795,20161012,Yuto_Nagatomo
68,7,323.53266628820165,2584.868986144458,20161019,Yuto_Nagatomo
69,7,285.406603546246,1888.390855019899,20161026,Yuto_Nagatomo
70,7,309.3257118748069,4909.461046027961,20161102,Yuto_Nagatomo
71,7,183.8717018588613,1269.7115731777633,20161108,Yuto_Nagatomo
72,7,261.2625356880666,2735.607417051748,20161115,Yuto_Nagatomo
73,7,249.33147677814665,1827.2315867393206,20161122,Yuto_Nagatomo
74,7,201.44362948475683,1417.5767738233637,20161129,Yuto_Nagatomo
75,7,223.7852864248073,1665.846627119125,20161206,Yuto_Nagatomo
76,7,205.8160426427651,1636.471936760832,20161213,Yuto_Nagatomo
77,7,317.95374590901946,2519.210021304364,20161220,Yuto_Nagatomo
78,7,231.58488168213702,1653.4596368150037,20161227,Yuto_Nagatomo
79,7,268.4513932629219,2526.578896782162,20170103,Yuto_Nagatomo
80,7,275.3376686677089,2218.1025579319885,20170110,Yuto_Nagatomo
81,7,262.8434181278727,1803.4896475406542,20170117,Yuto_Nagatomo
82,7,301.4771295016137,2288.651334198944,20170124,Yuto_Nagatomo
83,7,301.10728948083687,2226.495646553747,20170131,Yuto_Nagatomo
84,7,217.28913140531702,1585.6892213733272,20170207,Yuto_Nagatomo
85,7,204.69718585101143,1535.9534193259904,20170214,Yuto_Nagatomo
86,7,227.65574857050103,1644.575290452939,20170221,Yuto_Nagatomo
87,7,201.32035474013708,1569.7637046691739,20170228,Yuto_Nagatomo
88,7,216.1831686954795,1607.131457026778,20170307,Yuto_Nagatomo
89,7,237.77381768911548,2416.4561340613755,20170315,Yuto_Nagatomo
90,7,364.804402772903,2831.5619231273886,20170322,Yuto_Nagatomo
91,7,321.4499369175946,2426.704814171958,20170329,Yuto_Nagatomo
92,7,256.9384027191984,1790.5798087027508,20170405,Yuto_Nagatomo
93,7,290.1486522038664,3032.7014162401115,20170412,Yuto_Nagatomo
94,7,245.9646309079304,1883.8966712403737,20170419,Yuto_Nagatomo
95,7,215.5246108151547,3160.9937237297836,20170426,Yuto_Nagatomo
96,7,262.43751527372063,2298.737349339297,20170503,Yuto_Nagatomo
97,7,258.69987335874464,1937.9267592773872,20170510,Yuto_Nagatomo
98,7,246.15036621283244,1907.2555383201973,20170517,Yuto_Nagatomo
99,7,287.9880780223556,2757.8843376845252,20170524,Yuto_Nagatomo
100,7,297.7654624256341,2199.474610020021,20170531,Yuto_Nagatomo
101,7,329.2552981232341,2869.912680673243,20170607,Yuto_Nagatomo
102,7,307.6874580012165,2215.4746683264957,20170614,Yuto_Nagatomo
103,7,264.9564363478782,1894.731188332579,20170621,Yuto_Nagatomo
104,7,358.54352234975835,2779.219285849821,20170628,Yuto_Nagatomo
105,7,355.6969005605547,2509.4054943175774,20170705,Yuto_Nagatomo
106,7,422.9990415077909,3290.328056774758,20170712,Yuto_Nagatomo
107,7,384.2149374701333,2846.0179840733754,20170719,Yuto_Nagatomo
108,7,795.5813745826742,8185.936230285291,20170726,Yuto_Nagatomo
109,7,513.7541899828179,3525.298681278444,20170802,Yuto_Nagatomo
110,7,359.3177552769151,2756.5820979288374,20170809,Yuto_Nagatomo
111,7,515.6652020304324,3704.2051932275936,20170816,Yuto_Nagatomo
112,7,480.77771856658023,4113.357041978062,20170823,Yuto_Nagatomo
113,7,628.7107004463944,4768.8673487288015,20170830,Yuto_Nagatomo
114,7,437.6325664724068,3431.6809993069674,20170906,Yuto_Nagatomo
115,7,323.334812840177,3052.214925138434,20170913,Yuto_Nagatomo
116,7,303.1974186645921,2340.5262689778574,20170920,Yuto_Nagatomo
117,7,243.1286309517681,2113.237731598513,20170927,Yuto_Nagatomo
118,7,321.9164218720227,2407.6481282831155,20171004,Yuto_Nagatomo
119,7,557.6734625031295,5876.075025541315,20171011,Yuto_Nagatomo
120,7,419.59074991575284,4313.571917220531,20171018,Yuto_Nagatomo
121,7,450.51141612614293,3625.87668482319,20171025,Yuto_Nagatomo
122,7,321.06952433626554,2816.4887896108203,20171101,Yuto_Nagatomo
123,7,322.37752537291794,2521.501312820711,20171107,Yuto_Nagatomo
124,7,380.47486718330265,2630.372256699803,20171114,Yuto_Nagatomo
125,7,281.75417830218043,2137.6191358198403,20171121,Yuto_Nagatomo
126,7,492.1269944524887,3087.75523655432,20171128,Yuto_Nagatomo
127,7,367.49287966197153,2849.245793604791,20171205,Yuto_Nagatomo
