bin,binSize,median,article,timestamp
0,7,452,Zoë_Ball,20150701
1,7,476,Zoë_Ball,20150701
2,7,361,Zoë_Ball,20150701
3,7,377,Zoë_Ball,20150701
4,7,568,Zoë_Ball,20150701
5,7,585,Zoë_Ball,20150701
6,7,340,Zoë_Ball,20150701
7,7,341,Zoë_Ball,20150701
8,7,357,Zoë_Ball,20150701
9,7,431,Zoë_Ball,20150701
10,7,580,Zoë_Ball,20150701
11,7,403,Zoë_Ball,20150701
12,7,466,Zoë_Ball,20150701
13,7,1200,Zoë_Ball,20150701
14,7,1408,Zoë_Ball,20150701
15,7,1792,Zoë_Ball,20150701
16,7,1585,Zoë_Ball,20150701
17,7,2361,Zoë_Ball,20150701
18,7,1966,Zoë_Ball,20150701
19,7,1693,Zoë_Ball,20150701
20,7,1549,Zoë_Ball,20150701
21,7,1768,Zoë_Ball,20150701
22,7,1491,Zoë_Ball,20150701
23,7,1799,Zoë_Ball,20150701
24,7,1994,Zoë_Ball,20150701
25,7,708,Zoë_Ball,20150701
26,7,597,Zoë_Ball,20150701
27,7,559,Zoë_Ball,20150701
28,7,369,Zoë_Ball,20150701
29,7,441,Zoë_Ball,20150701
30,7,399,Zoë_Ball,20150701
31,7,404,Zoë_Ball,20150701
32,7,369,Zoë_Ball,20150701
33,7,450,Zoë_Ball,20150701
34,7,412,Zoë_Ball,20150701
35,7,343,Zoë_Ball,20150701
36,7,427,Zoë_Ball,20150701
37,7,564,Zoë_Ball,20150701
38,7,493,Zoë_Ball,20150701
39,7,1098,Zoë_Ball,20150701
40,7,746,Zoë_Ball,20150701
41,7,606,Zoë_Ball,20150701
42,7,776,Zoë_Ball,20150701
43,7,411,Zoë_Ball,20150701
44,7,357,Zoë_Ball,20150701
45,7,381,Zoë_Ball,20150701
46,7,347,Zoë_Ball,20150701
47,7,514,Zoë_Ball,20150701
48,7,922,Zoë_Ball,20150701
49,7,336,Zoë_Ball,20150701
50,7,377,Zoë_Ball,20150701
51,7,514,Zoë_Ball,20150701
52,7,435,Zoë_Ball,20150701
53,7,343,Zoë_Ball,20150701
54,7,347,Zoë_Ball,20150701
55,7,308,Zoë_Ball,20150701
56,7,438,Zoë_Ball,20150701
57,7,313,Zoë_Ball,20150701
58,7,307,Zoë_Ball,20150701
59,7,322,Zoë_Ball,20150701
60,7,374,Zoë_Ball,20150701
61,7,1138,Zoë_Ball,20150701
62,7,520,Zoë_Ball,20150701
63,7,396,Zoë_Ball,20150701
64,7,3854,Zoë_Ball,20150701
65,7,2202,Zoë_Ball,20150701
66,7,1715,Zoë_Ball,20150701
67,7,1392,Zoë_Ball,20150701
68,7,1440,Zoë_Ball,20150701
69,7,1523,Zoë_Ball,20150701
70,7,1462,Zoë_Ball,20150701
71,7,1580,Zoë_Ball,20150701
72,7,1788,Zoë_Ball,20150701
73,7,2832,Zoë_Ball,20150701
74,7,1546,Zoë_Ball,20150701
75,7,1136,Zoë_Ball,20150701
76,7,1123,Zoë_Ball,20150701
77,7,537,Zoë_Ball,20150701
78,7,518,Zoë_Ball,20150701
79,7,483,Zoë_Ball,20150701
80,7,416,Zoë_Ball,20150701
81,7,554,Zoë_Ball,20150701
82,7,393,Zoë_Ball,20150701
83,7,409,Zoë_Ball,20150701
84,7,512,Zoë_Ball,20150701
85,7,411,Zoë_Ball,20150701
86,7,415,Zoë_Ball,20150701
87,7,427,Zoë_Ball,20150701
88,7,431,Zoë_Ball,20150701
89,7,498,Zoë_Ball,20150701
90,7,373,Zoë_Ball,20150701
91,7,373,Zoë_Ball,20150701
92,7,403,Zoë_Ball,20150701
93,7,526,Zoë_Ball,20150701
94,7,448,Zoë_Ball,20150701
95,7,382,Zoë_Ball,20150701
96,7,2300,Zoë_Ball,20150701
97,7,1072,Zoë_Ball,20150701
98,7,719,Zoë_Ball,20150701
99,7,634,Zoë_Ball,20150701
100,7,493,Zoë_Ball,20150701
101,7,474,Zoë_Ball,20150701
102,7,449,Zoë_Ball,20150701
103,7,589,Zoë_Ball,20150701
104,7,390,Zoë_Ball,20150701
105,7,421,Zoë_Ball,20150701
106,7,453,Zoë_Ball,20150701
107,7,591,Zoë_Ball,20150701
108,7,814,Zoë_Ball,20150701
109,7,967,Zoë_Ball,20150701
110,7,619,Zoë_Ball,20150701
111,7,1002,Zoë_Ball,20150701
112,7,875,Zoë_Ball,20150701
113,7,729,Zoë_Ball,20150701
114,7,499,Zoë_Ball,20150701
115,7,464,Zoë_Ball,20150701
116,7,866,Zoë_Ball,20150701
117,7,1914,Zoë_Ball,20150701
